BTG;1.171.588.875;6.290;3.724,47
Itaú;722.898.876;3.885;3.725,19
Santander;517.214.375;2.775;3.725,37
Tullett;435.951.126;2.330;3.724,36
Capital;379.687.748;2.040;3.725,20
Goldman;252.214.750;1.355;3.727,23
Renascença;128.484.625;690;3.721,26
Nova Futura;111.632.125;600;3.724,21
Ativa;93.960.626;505;3.725,05
Guide;84.091.876;455;3.724,66
Modal;48.578.750;260;3.725,46
Clear;45.588.250;245;3.724,81
Planner;42.716.625;230;3.724,32
Coinvalores;35.330.000;190;3.722,44
Socopa;29.781.125;160;3.723,93
H.commcor;7.471.625;40;3.722,72
Terra;5.547.125;30;3.724,21
Rico;-2.799.875;-15;3.724,92
Genial;-20.636.000;-110;3.724,51
Mirae;-31.654.500;-170;3.726,61
Citigroup;-46.533.125;-250;3.722,31
Concórdia;-46.776.125;-250;3.722,07
Bradesco;-194.293.375;-1.040;3.726,40
JP Morgan;-207.568.874;-1.110;3.724,86
Credit;-214.906.875;-1.155;3.721,87
Merrill;-380.405.125;-2.045;3.720,10
XP;-416.176.250;-2.240;3.725,18
Morgan;-796.396.875;-4.275;3.724,55
BGC Liquidez;-803.294.125;-4.315;3.725,90
UBS;-951.280.378;-5.105;3.724,80
