Tullett;-1.070.334.375;-5.760;3.714,22
Santander;-1.001.620.375;-5.385;3.716,32
JP Morgan;-883.103.249;-4.755;3.716,70
Guide;-441.336.375;-2.375;3.717,40
Merrill;-310.594.375;-1.670;3.721,16
Itaú;-274.755.625;-1.480;3.715,41
Morgan;-244.848.001;-1.315;3.716,12
Credit;-85.237.625;-460;3.716,29
UBS;-70.801.250;-370;3.715,78
Renascença;-54.692.500;-295;3.708,66
Planner;-33.490.750;-180;3.716,48
Ativa;-33.267.000;-175;3.714,15
Clear;-27.822.250;-150;3.715,60
Alfa;-20.451.625;-110;3.718,17
Rico;-937.375;-5;3.714,41
Socopa;-897.125;-5;3.718,20
Terra;14.067.250;75;3.715,57
Citigroup;19.479.250;105;3.713,02
H.commcor;63.455.875;340;3.721,63
Modal;82.743.625;445;3.713,63
Genial;141.059.125;760;3.717,20
Goldman;175.109.749;940;3.715,16
Bradesco;214.441.375;1.150;3.717,48
Concórdia;339.114.500;1.825;3.714,47
Capital;433.378.625;2.335;3.717,30
BGC Liquidez;489.238.625;2.630;3.716,26
BTG;647.552.250;3.475;3.716,58
Nova Futura;666.181.000;3.590;3.715,22
XP;1.268.397.126;6.820;3.714,76
