BTG;-598.037.624;-3.225;3.703,31
Ativa;-516.108.625;-2.785;3.705,43
Morgan;-424.113.750;-2.290;3.701,61
Goldman;-422.954.500;-2.280;3.701,78
Bradesco;-367.187.877;-1.990;3.700,94
Santander;-321.249.004;-1.740;3.698,47
Guide;-293.481.500;-1.595;3.697,02
Concórdia;-155.184.250;-840;3.698,91
Credit;-150.882.500;-820;3.706,47
BGC Liquidez;-61.281.000;-345;3.700,55
UBS;-52.892.374;-290;3.702,85
H.commcor;-39.193.125;-210;3.704,40
Planner;-33.193.500;-180;3.708,31
Modal;-10.890.625;-60;3.698,84
Rico;-5.543.500;-30;3.699,69
Fator;-1.858.500;-10;3.699,00
Intl;-930.000;-5;3.720,00
Merrill;992.625;5;3.702,51
Socopa;8.201.125;45;3.699,14
Citigroup;9.280.750;50;3.697,74
Clear;13.616.375;75;3.698,25
JP Morgan;26.068.625;150;3.707,45
Renascença;27.708.375;150;3.692,57
Coinvalores;39.756.625;215;3.700,82
Capital;90.038.875;490;3.697,75
Genial;98.125.625;530;3.701,83
Nova Futura;223.961.499;1.205;3.695,61
Terra;259.231.375;1.405;3.698,10
XP;453.284.751;2.440;3.703,60
Tullett;739.770.503;4.020;3.703,35
Itaú;1.464.976.001;7.915;3.705,04
