UBS;-536.758.501;-2.910;3.694,19
BGC Liquidez;-394.119.125;-2.145;3.693,93
Credit;-360.938.250;-1.955;3.695,98
JP Morgan;-274.146.623;-1.485;3.692,30
Tullett;-261.200.879;-1.415;3.693,58
XP;-255.000.500;-1.375;3.693,65
Merrill;-212.809.125;-1.155;3.688,72
Itaú;-167.565.252;-905;3.694,62
Genial;-139.453.750;-755;3.695,11
Santander;-135.391.625;-730;3.695,31
BTG;-125.859.874;-685;3.693,35
Renascença;-62.014.250;-335;3.691,69
Nova Futura;-56.855.750;-305;3.694,39
Ativa;-37.782.000;-200;3.693,51
Coinvalores;-6.465.125;-35;3.690,11
Fator;1.845.000;10;3.690,00
Intl;1.846.250;10;3.692,50
Alfa;1.846.875;10;3.693,75
Rico;4.621.625;25;3.693,68
Modal;12.845.625;70;3.696,60
Clear;21.238.250;115;3.696,59
Safra;36.900.000;200;3.690,00
Terra;42.426.000;230;3.694,51
Socopa;60.053.375;325;3.695,10
Planner;76.461.250;415;3.693,80
Concórdia;85.832.125;465;3.698,32
Citigroup;110.782.625;600;3.691,01
Guide;115.887.875;625;3.694,29
H.commcor;145.844.000;790;3.691,02
Morgan;244.664.751;1.320;3.695,36
Goldman;263.154.001;1.425;3.691,09
Capital;520.554.627;2.830;3.693,05
Bradesco;1.279.583.000;6.925;3.694,94
