Guide;-887.482.250;-4.780;3.711,54
Bradesco;-694.304.750;-3.730;3.717,89
JP Morgan;-667.959.750;-3.610;3.715,88
UBS;-425.395.875;-2.300;3.716,49
BGC Liquidez;-340.762.500;-1.840;3.720,41
Credit;-253.656.250;-1.365;3.716,91
Genial;-241.975.750;-1.305;3.716,79
Modal;-96.330.500;-520;3.719,28
Clear;-78.020.500;-420;3.721,57
BTG;-75.719.875;-400;3.718,77
Intl;-74.700.000;-400;3.735,00
Planner;-53.460.750;-285;3.714,55
Citigroup;-15.526.875;-85;3.720,69
Agora;-11.105.875;-60;3.711,21
Coinvalores;-5.544.000;-30;3.720,38
Fator;-3.746.500;-20;3.710,17
Rico;4.686.625;25;3.718,15
Terra;12.939.000;70;3.722,16
H.commcor;20.525.500;110;3.718,02
Goldman;24.073.250;135;3.715,93
Merrill;50.971.000;275;3.707,64
Socopa;64.805.500;350;3.711,87
Ativa;78.665.625;440;3.717,67
Renascença;111.165.125;600;3.716,22
Morgan;122.000.750;675;3.716,42
Concórdia;127.013.875;685;3.707,38
XP;135.641.375;735;3.713,82
Santander;353.285.501;1.900;3.715,95
Tullett;390.434.000;2.105;3.716,06
Itaú;603.365.999;3.225;3.717,13
Nova Futura;833.182.125;4.475;3.720,60
Capital;992.937.250;5.345;3.722,73
