Guide;-479.262.126;-2.580;3.715,52
JP Morgan;-439.817.373;-2.365;3.717,08
Ativa;-422.887.501;-2.275;3.714,57
Morgan;-321.062.250;-1.730;3.714,88
Goldman;-272.022.500;-1.460;3.718,18
Tullett;-216.558.125;-1.160;3.716,28
UBS;-165.258.750;-885;3.716,11
Credit;-152.024.750;-820;3.717,49
BTG;-119.851.375;-645;3.715,47
Merrill;-60.606.375;-325;3.716,55
Modal;-46.435.125;-250;3.715,68
Planner;-38.211.250;-205;3.714,93
Safra;-37.300.000;-200;3.730,00
H.commcor;-14.908.500;-80;3.720,75
Rico;-3.723.625;-20;3.716,23
Alfa;-928.750;-5;3.714,33
Coinvalores;3.760.500;20;3.716,11
Clear;10.952.375;60;3.714,21
Terra;11.066.250;60;3.716,07
Agora;11.174.750;60;3.712,52
Socopa;14.805.375;80;3.714,21
Genial;76.811.625;415;3.716,29
Santander;76.960.251;410;3.714,97
Nova Futura;78.300.750;420;3.714,40
Concórdia;89.109.625;480;3.712,67
Bradesco;105.247.500;565;3.715,39
Citigroup;107.853.750;580;3.715,79
Renascença;181.977.375;980;3.711,89
Capital;209.524.625;1.125;3.716,17
Intl;260.081.250;1.400;3.715,45
XP;379.062.000;2.040;3.717,28
Itaú;579.057.247;3.115;3.716,99
BGC Liquidez;595.085.752;3.195;3.718,20
