JP Morgan;-715.187.748;-3.835;3.718,32
BGC Liquidez;-530.796.875;-2.855;3.717,66
Ativa;-505.475.749;-2.730;3.716,68
UBS;-454.691.873;-2.430;3.717,40
Itaú;-443.368.502;-2.400;3.716,90
Goldman;-321.603.625;-1.730;3.718,10
Morgan;-300.198.375;-1.615;3.719,93
Guide;-168.157.248;-900;3.714,40
Concórdia;-142.945.375;-760;3.714,60
Citigroup;-120.183.250;-645;3.728,09
Capital;-81.919.628;-435;3.716,72
Planner;-18.743.125;-100;3.732,30
Agora;-17.697.500;-95;3.712,57
Nova Futura;-16.173.625;-85;3.720,75
Rico;-4.598.500;-25;3.721,79
Credit;-2.437.500;-15;3.716,98
Terra;-1.796.375;-10;3.716,51
Fator;-927.250;-5;3.709,00
Mirae;13.916.625;75;3.715,44
Clear;18.933.250;100;3.714,82
Merrill;19.434.875;105;3.728,06
Socopa;25.958.000;140;3.719,85
Coinvalores;26.959.750;145;3.723,11
H.commcor;48.153.500;260;3.719,31
Bradesco;80.971.625;455;3.717,66
Modal;97.696.375;525;3.717,88
Renascença;150.497.000;810;3.712,00
XP;153.884.875;830;3.718,85
Genial;348.964.625;1.880;3.717,25
BTG;452.064.498;2.410;3.718,92
Tullett;557.252.625;2.975;3.719,07
Santander;1.852.214.500;9.960;3.721,24
